time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,002026;-0,0822;-0,0617;-1,6326;1,636
0,002387;-0,162;-0,1048;-1,6544;1,666
0,002612;-0,2118;-0,1094;-1,6053;1,623
0,033025;-0,2791;-0,1096;-1,4279;1,459
0,033525;-0,3069;-0,1158;-1,0553;1,105
0,033672;-0,1763;-0,1054;-0,4875;0,529
0,033815;-0,0543;-0,1134;0,1227;0,176
0,033943;0,0264;-0,1409;0,5365;0,555
0,034065;0,0998;-0,1746;0,8884;0,911
0,034196;0,1799;-0,2009;1,1928;1,223
0,038253;0,2755;-0,2108;1,402;1,444
0,042834;0,2854;-0,176;1,5686;1,604
0,047416;0,2474;-0,1111;1,6639;1,686
0,052214;0,1184;-0,0307;1,6164;1,621
0,057201;-0,0441;-0,0257;1,4836;1,484
0,061744;-0,1921;-0,0092;1,2654;1,28
0,066561;-0,4262;-0,024;0,9619;1,052
0,070895;-0,6606;-0,0787;0,6542;0,933
0,075834;-0,862;-0,1441;0,4427;0,98
0,080499;-0,9586;-0,2246;0,2649;1,02
0,084643;-0,9549;-0,2862;0,0683;0,999
0,089817;-0,9221;-0,3381;-0,0993;0,987
0,094371;-0,8693;-0,3512;-0,2572;0,972
0,101593;-0,7965;-0,2916;-0,4054;0,94
0,103757;-0,7085;-0,2306;-0,4962;0,895
0,108445;-0,6292;-0,1058;-0,5727;0,857
0,112962;-0,5061;0,0495;-0,6398;0,817
0,11763;-0,4202;0,1731;-0,6832;0,821
0,122467;-0,3237;0,2462;-0,7123;0,82
0,127055;-0,2837;0,2924;-0,6557;0,772
0,131774;-0,2191;0,2878;-0,6423;0,737
0,136504;-0,2499;0,2894;-0,543;0,664
0,141338;-0,2473;0,2633;-0,3724;0,519
0,145835;-0,2263;0,2469;-0,1446;0,365
0,150456;-0,2304;0,206;0,121;0,332
0,155338;-0,2072;0,1636;0,3482;0,437
0,159668;-0,2571;0,2004;0,5228;0,616
0,164395;-0,2941;0,1676;0,5922;0,682
0,16934;-0,4091;0,1561;0,5806;0,727
0,173788;-0,5548;0,1609;0,5548;0,801
0,178635;-0,6979;0,1154;0,4766;0,853
0,183229;-0,8385;0,1442;0,3985;0,94
0,192718;-0,9623;0,1708;0,3206;1,029
0,193256;-1,1166;0,1478;0,2572;1,155
0,196945;-1,2677;0,1567;0,2369;1,299
0,202214;-1,3146;0,126;0,2072;1,337
0,206709;-1,3624;0,0944;0,2111;1,382
0,211192;-1,3535;0,081;0,2342;1,376
0,216234;-1,2687;0,0763;0,2621;1,298
0,220609;-1,1458;0,0279;0,228;1,169
0,225218;-1,0749;-0,0114;0,1942;1,092
0,229991;-0,9695;-0,0318;0,1463;0,981
0,234404;-0,8578;-0,0235;0,1225;0,867
0,239394;-0,7491;-0,0437;0,099;0,757
0,243595;-0,6431;-0,0395;0,0948;0,651
0,248488;-0,5541;-0,0303;0,0717;0,56
0,253349;-0,4821;-0,03;0,025;0,484
0,257934;-0,4178;-0,0292;-0,0408;0,421
0,263586;-0,3902;-0,0085;-0,0825;0,399
0,267189;-0,3233;-0,0063;-0,1242;0,346
0,271852;-0,3178;-0,0084;-0,1515;0,352
0,276573;-0,3983;-0,0532;-0,1596;0,432
0,281195;-0,5381;0,0118;-0,1345;0,555
0,285979;-0,7862;0,0282;-0,0714;0,79
0,290818;-0,9507;-0,0848;-0,2571;0,989
0,295228;-0,9877;-0,2068;-0,4763;1,116
0,302593;-1,1696;-0,2656;-0,6908;1,384
0,306325;-1,2143;-0,2562;-0,9483;1,562
0,309268;-1,2562;-0,2407;-1,0674;1,666
0,313784;-1,2951;-0,171;-1,1055;1,711
0,318201;-1,2783;-0,1142;-1,0197;1,639
0,323213;-1,273;-0,0606;-0,8915;1,555
0,328006;-1,2549;-0,0534;-0,8068;1,493
0,333184;-1,1516;-0,083;-0,7799;1,393
0,337487;-0,8717;-0,111;-0,6719;1,106
0,342013;-0,5583;-0,171;-0,4496;0,737
0,346768;-0,2925;-0,2203;-0,1512;0,396
0,351286;-0,0502;-0,3314;0,2999;0,45
0,356078;0,04;-0,4331;0,7076;0,831
0,360643;-0,0114;-0,5456;0,9479;1,094
0,365421;-0,0884;-0,6644;0,9973;1,202
0,369978;-0,2381;-0,7655;0,8943;1,201
0,374445;-0,4221;-0,8152;0,7345;1,176
0,379995;-0,6076;-0,8174;0,5179;1,143
0,384098;-0,7856;-0,8001;0,2635;1,152
0,388799;-0,9801;-0,7339;0,0332;1,225
0,393293;-1,0572;-0,6613;-0,173;1,259
0,398004;-1,1502;-0,5915;-0,422;1,36
0,402648;-1,1631;-0,452;-0,6519;1,408
0,407395;-1,2099;-0,3095;-0,8482;1,51
0,412222;-1,2044;-0,1683;-1,0731;1,622
0,416737;-1,2045;-0,0949;-1,3364;1,802
0,421672;-1,264;-0,0027;-1,6474;2,076
0,426215;-1,2832;0,032;-1,9586;2,342
0,430936;-1,1767;0,0432;-2,2556;2,544
0,435459;-0,9552;0,0407;-2,4094;2,592
0,439804;-0,6578;-0,014;-2,3198;2,411
0,444805;-0,2138;-0,1072;-1,9439;1,959
0,44973;0,1555;-0,2683;-1,3013;1,338
0,454149;0,516;-0,4894;-0,5451;0,896
0,458998;0,8291;-0,7716;0,2244;1,155
0,463867;0,9475;-1,0257;0,8879;1,655
0,468383;0,988;-1,2243;1,2786;2,027
0,47301;0,8;-1,2587;1,5549;2,155
0,477845;0,5908;-1,0963;1,7315;2,133
0,482477;0,3276;-0,8576;1,8276;2,045
0,486926;-0,0187;-0,5235;1,8099;1,884
0,491897;-0,3631;-0,1755;1,6592;1,708
0,496882;-0,6927;0,1247;1,3563;1,528
0,501145;-0,8031;0,33;0,9203;1,265
0,510713;-0,8104;0,4316;0,4276;1,013
0,511563;-0,7398;0,4449;-0,0408;0,864
0,515203;-0,5685;0,3709;-0,4947;0,84
0,519541;-0,1591;0,2537;-0,8626;0,913
0,524427;0,2573;0,0176;-1,0588;1,09
0,529024;0,5121;-0,179;-1,1507;1,272
0,533588;0,6289;-0,3787;-1,215;1,42
0,538354;0,5413;-0,4717;-1,3376;1,518
0,54315;0,1387;-0,4609;-1,7762;1,84
0,547831;-0,2903;-0,4052;-2,7305;2,776
0,552597;-0,5807;-0,2608;-2,7807;2,853
0,556997;-1,1514;-0,2732;-2,4775;2,746
0,56173;-1,409;-0,3222;-2,6818;3,046
0,567498;-1,4578;-0,2834;-2,7951;3,165
0,571288;-1,4365;-0,2573;-2,6692;3,042
0,575819;-1,4068;-0,2821;-2,6341;3
0,581258;-1,22;-0,3672;-2,5891;2,886
0,585302;-0,9149;-0,3986;-2,3714;2,573
0,589961;-0,4967;-0,3868;-2,1533;2,243
0,594482;-0,1093;-0,3374;-1,8773;1,91
0,59968;0,267;-0,3182;-1,6005;1,654
0,60388;0,5235;-0,4013;-1,3469;1,5
0,611416;0,7092;-0,5868;-1,14;1,465
0,613619;0,8492;-0,6929;-0,9558;1,454
0,617939;1,0206;-0,7199;-0,7033;1,433
0,622361;1,2273;-0,5965;-0,3205;1,402
0,627967;1,4628;-0,3859;0,1876;1,524
0,631658;1,7067;-0,1128;0,682;1,841
0,636479;2,0452;0,1505;1,0242;2,292
0,640997;2,3509;0,3987;1,2049;2,672
0,645212;2,4316;0,7697;1,21;2,823
0,650508;1,3908;2,0887;1,0108;2,705
0,655408;1,0754;2,5414;1,6923;3,237
0,659881;1,3293;2,1853;2,1011;3,31
0,664749;1,8481;1,4031;3,04;3,824
0,669564;2,7772;0,1317;4,6844;5,447
0,673898;3,8762;-1,4852;5,7949;7,128
0,678275;3,9088;-2,3426;6,0615;7,583
0,683145;3,1156;-1,9687;5,8727;6,933
0,688384;1,8313;-0,9242;5,1815;5,573
0,692701;0,4372;0,249;4,5764;4,604
0,699712;-0,8544;1,454;4,0522;4,389
0,702114;-1,7995;2,3985;3,5316;4,633
0,709577;-1,9767;2,6996;3,2629;4,674
0,711395;-1,4317;2,2966;2,8633;3,94
0,715659;-0,603;1,3259;2,209;2,646
0,720444;0,0815;0,2206;1,406;1,425
0,725017;0,7064;-0,6826;0,6746;1,192
0,729917;1,2808;-1,2059;0,2685;1,78
0,734584;1,8289;-1,1869;0,1633;2,186
0,739166;2,1703;-0,8224;-0,0332;2,321
0,744078;2,1913;-0,1998;-0,2496;2,215
0,74871;2,1068;0,3739;-0,3902;2,175
0,753412;2,1016;0,864;-0,3262;2,296
0,758199;2,195;1,1552;-0,316;2,5
0,762955;2,4362;1,3003;-0,3787;2,787
0,767463;2,8406;1,2759;-0,5187;3,157
0,772491;3,1934;1,0589;-0,6736;3,431
0,776695;3,4172;0,8221;-0,7475;3,593
0,781543;3,4688;0,5421;-0,8551;3,614
0,786209;3,0967;0,1386;-0,8907;3,225
0,790747;2,4687;-0,7162;-0,859;2,71
0,79545;1,882;-1,6639;-0,8501;2,652
0,800454;1,5228;-1,6897;-1,4608;2,703
0,809658;1,3813;-0,6185;-2,5515;2,967
0,810081;1,1359;0,9514;-3,3044;3,621
0,813874;0,5794;2,195;-3,3572;4,053
0,818752;-0,0461;2,7028;-2,9693;4,016
0,823551;-0,3961;2,4397;-2,6436;3,619
0,828196;-0,3725;1,8209;-2,4182;3,05
0,83273;-0,2244;1,0472;-2,2596;2,501
0,837451;-0,0403;0,463;-2,0626;2,114
0,842017;0,0756;0,0873;-1,7124;1,716
0,847026;0,2775;0,0442;-1,3577;1,386
0,851655;0,4675;0,2276;-1,0271;1,151
0,856088;0,5782;0,5362;-0,716;1,065
0,860685;0,6398;0,8257;-0,5343;1,173
0,865977;0,7208;1,0381;-0,4629;1,346
0,869927;0,7844;1,1398;-0,3868;1,437
0,874255;0,8274;1,1354;-0,3921;1,459
0,8791;0,8594;1,097;-0,3496;1,437
0,883561;0,8758;1,058;-0,2976;1,405
0,888529;0,8278;1,0136;-0,2505;1,332
0,893666;0,6612;0,9728;-0,17;1,188
0,898681;0,3351;0,8575;0,0965;0,926
0,902811;-0,0023;0,7762;0,224;0,808
0,909028;0,0513;0,9734;-0,0264;0,975
0,912031;0,1256;1,1153;-0,1185;1,129
0,916625;-0,0573;1,015;0,2627;1,05
0,921935;-0,2844;0,8727;0,3089;0,968
0,926149;-0,5592;0,8321;0,2453;1,032
0,930753;-0,7459;0,8929;0,2825;1,197
0,935446;-0,7418;0,9786;0,344;1,275
0,940261;-0,6415;1,0794;0,4154;1,323
0,944702;-0,43;1,1146;0,3964;1,259
0,949409;-0,1265;1,0896;0,2251;1,12
0,954188;0,5838;1,1247;0,0163;1,267
0,958376;0,9741;1,1912;-0,1676;1,548
0,963644;0,9392;1,175;-0,2503;1,525
0,96801;0,9365;1,1831;-0,6334;1,636
0,97265;0,967;1,1668;-1,4839;2,121
0,977958;0,7648;1,2252;-2,376;2,781
0,982347;0,3101;1,4133;-3,0852;3,408
0,98693;-0,1557;1,6785;-3,5927;3,969
0,991407;-0,4422;2,02;-3,8129;4,337
0,996429;-0,5838;2,3212;-3,6267;4,345
1,001135;-0,5398;2,4515;-3,159;4,035
1,008911;-0,3622;2,3719;-2,6015;3,539
1,010161;-0,0179;2,1292;-1,9446;2,884
1,014797;0,296;1,8616;-1,3701;2,33
1,019638;0,5364;1,6688;-0,8874;1,965
1,024237;0,6848;1,5833;-0,4726;1,789
1,028962;0,7615;1,5994;-0,1589;1,779
1,033564;0,9014;1,6257;0,02;1,859
1,038575;1,0094;1,6236;0,1265;1,916
1,043197;1,1142;1,5646;0,2132;1,933
1,047129;1,2492;1,5056;0,476;2,013
1,052091;1,332;1,4223;0,7763;2,098
1,056787;1,3095;1,4337;0,8895;2,136
1,061594;1,139;1,4769;0,9974;2,115
1,066473;0,9452;1,5129;1,0858;2,088
1,070943;0,7613;1,522;1,1548;2,057
1,075772;0,5718;1,4511;1,1999;1,968
1,080319;0,4474;1,2857;1,2354;1,838
1,085088;0,301;1,0638;1,2712;1,685
1,089658;0,1504;0,857;1,293;1,559
1,094385;0,0807;0,6322;1,2771;1,427
1,09919;0,0864;0,3657;1,2331;1,289
1,103841;0,5669;0,0386;1,5148;1,618
1,109293;0,8748;-0,3577;1,3142;1,619
1,11324;1,3728;-0,6985;1,2388;1,977
1,11752;1,6545;-0,807;1,2646;2,233
1,12225;1,7118;-0,5593;1,229;2,18
1,1268;1,6374;0,4648;1,2466;2,11
1,131839;1,4949;1,9393;1,236;2,743
1,136489;1,678;3,0334;0,5137;3,504
1,141175;1,8718;3,4872;-0,7098;4,021
1,145986;1,9385;3,3137;-2,1568;4,403
1,150456;1,8271;2,8462;-3,493;4,862
1,155478;1,5543;2,4276;-5,054;5,818
1,159553;0,8612;2,0123;-6,1851;6,561
1,164425;-0,024;1,7499;-6,873;7,092
1,169328;-1,1808;1,6885;-7,0752;7,369
1,173838;-2,4671;1,7465;-6,8207;7,46
1,178588;-3,7812;1,9521;-6,0759;7,418
1,183293;-4,8742;1,9787;-5,0511;7,293
1,188746;-5,6356;1,9341;-3,8844;7,113
1,192449;-6,1116;1,7722;-2,5756;6,865
1,196975;-6,2569;1,4755;-1,3057;6,56
1,202104;-6,1601;1,122;-0,2753;6,267
1,207191;-5,8619;0,8048;0,5256;5,94
1,211238;-5,4323;0,6218;1,2933;5,619
1,217012;-4,7726;0,4415;2,0659;5,219
1,220569;-3,7304;-0,011;2,939;4,749
1,22521;-2,5449;-0,3981;3,788;4,581
1,230296;-1,5688;-0,66;4,5938;4,899
1,234486;-0,7477;-0,7988;5,2179;5,331
1,239276;0,2353;-0,9787;5,5268;5,618
1,244401;1,3273;-1,0379;5,5307;5,782
1,248579;2,2541;-0,9052;5,3401;5,867
1,253193;3,0375;-0,5662;4,8744;5,771
1,258065;3,7198;-0,1111;4,1249;5,556
1,262601;4,2943;0,3132;3,1404;5,329
1,267364;4,6997;0,6989;2,084;5,188
1,272194;4,7991;1,0914;0,9225;5,007
1,276514;4,6995;1,5794;-0,4064;4,974
1,281156;4,2682;2,238;-1,7789;5,137
1,286242;3,4656;3,052;-3,0859;5,554
1,290738;2,3201;4,0698;-4,343;6,388
1,295467;0,8469;5,2164;-5,7377;7,801
1,299892;-0,5471;6,0913;-7,1279;9,392
1,309553;-1,5472;6,2345;-8,3905;10,567
1,310349;-2,1041;5,4943;-9,3305;11,031
1,313889;-2,403;4,4345;-9,9058;11,116
1,318222;-2,5592;3,6899;-10,2171;11,16
1,323624;-2,8951;3,6559;-10,2264;11,239
1,32802;-3,3983;4,0634;-9,8239;11,161
1,332755;-4,0216;4,7012;-8,8808;10,823
1,337451;-4,6408;5,4434;-7,4404;10,321
1,342028;-5,0258;6,0585;-5,7609;9,755
1,347103;-4,9272;6,2621;-4,2483;9,03
1,351289;-4,3439;6,0189;-2,9639;7,993
1,355727;-3,189;5,2646;-1,7969;6,412
1,360821;-1,582;4,0983;-0,8468;4,474
1,365084;0,1269;2,7433;-0,1272;2,749
1,370178;1,3241;1,6956;0,4153;2,191
1,374678;2,0229;1,1157;0,8339;2,456
1,379415;2,2229;1,0778;1,153;2,726
1,384258;2,196;1,5458;1,3732;3,016
1,388927;2,109;2,2074;1,4899;3,397
1,393363;1,9854;2,8177;1,6658;3,828
1,398088;1,7804;3,3621;1,8147;4,215
1,402874;1,5209;3,7262;1,927;4,462
1,408145;1,3064;3,8867;1,8783;4,51
1,412212;1,1746;3,8397;1,6543;4,343
1,417828;1,0825;3,6296;1,3217;4,012
1,421626;0,9732;3,4486;0,871;3,688
1,426191;0,7568;3,3981;0,4074;3,505
1,430577;0,4299;3,5461;-0,0167;3,572
1,43551;0,0132;3,812;-0,4302;3,836
1,440025;-0,4207;4,1489;-0,9478;4,277
1,444332;-0,6901;4,4336;-1,4356;4,711
1,449478;-0,7915;4,6816;-1,9131;5,119
1,454191;-0,622;4,8081;-2,2897;5,362
1,458778;-0,1314;4,8472;-2,4558;5,435
1,463805;0,5509;4,8954;-2,5028;5,526
1,46824;1,2556;4,9148;-2,4453;5,631
1,472747;1,7802;4,8571;-2,3362;5,676
1,47785;2,1071;4,603;-2,4962;5,644
1,483408;1,9356;3,5134;-3,5806;5,377
1,48727;2,0292;3,0104;-4,2826;5,614
1,491566;2,0318;2,8422;-4,6739;5,835
1,498528;2,0232;3,0532;-4,3436;5,682
1,502112;1,7383;3,4181;-3,5364;5,216
1,507517;1,2515;3,7866;-2,4199;4,665
1,510221;0,7982;4,093;-1,1994;4,339
1,514622;0,582;4,3147;-0,0322;4,354
1,519734;0,6575;4,5336;1,1589;4,725
1,524066;1,015;4,6694;2,3214;5,313
1,528961;1,6246;4,8003;3,3169;6,057
1,533495;2,4655;4,8473;4,1164;6,821
1,538338;3,4598;4,733;4,7345;7,536
1,542922;4,315;4,5624;4,975;8,012
1,547745;4,8731;4,4372;4,7762;8,139
1,552172;5,086;4,4024;4,3008;7,984
1,556807;5,0586;4,4844;3,702;7,707
1,561733;4,8141;4,7143;2,9797;7,367
1,56677;4,2753;4,9367;2,1529;6,876
1,570938;3,5717;5,0255;1,3793;6,318
1,575548;2,8574;5,0692;0,6589;5,856
1,580309;2,1428;5,1083;0,1828;5,543
1,584985;1,4279;5,034;0,0272;5,233
1,589596;0,7834;4,9522;0,2727;5,021
1,59456;0,1656;4,8243;0,8137;4,895
1,599355;-0,4985;4,7016;1,6209;4,998
1,603364;-1,0849;4,6205;2,6797;5,45
1,608165;-1,5408;4,6072;4,0138;6,302
1,613399;-1,9329;4,6011;5,6518;7,54
1,618052;-2,2687;4,6662;7,2113;8,884
1,622421;-2,6536;4,7737;8,8986;10,441
1,627172;-3,4831;5,2765;11,3026;12,951
1,631884;-3,2525;5,7139;11,0244;12,836
1,636231;-2,6458;5,7099;10,782;12,484
1,641255;-2,9547;5,6971;10,7801;12,546
1,64582;-3,8836;5,8404;9,9907;12,207
1,650532;-5,1608;6,1516;9,0549;12,102
1,655857;-6,6308;6,5509;8,4746;12,598
1,659673;-7,8419;6,9391;8,1868;13,292
1,664377;-8,8535;7,3259;8,4347;14,255
1,669199;-9,93;7,7482;9,1697;15,58
1,673906;-10,3475;7,9232;9,9037;16,369
1,678166;-9,9573;7,8132;10,6122;16,517
1,682913;-9,1739;7,6205;11,3237;16,446
1,687512;-8,4858;7,4279;11,8472;16,357
1,692449;-8,0247;7,2368;12,3221;16,389
1,698715;-7,5484;6,8627;12,835;16,395
1,701847;-6,8032;6,2161;13,2673;16,154
1,708643;-6,0508;5,2035;13,4669;15,654
1,711137;-4,9695;3,98;13,4012;14,837
1,715791;-3,9162;2,743;13,0419;13,891
1,720257;-2,8955;1,4698;12,4899;12,905
1,725266;-2,0727;0,1618;11,4579;11,645
1,730454;-1,4178;-0,9595;10,0223;10,167
1,734574;-0,8923;-1,7301;8,3931;8,616
1,7392;-0,2868;-2,3931;6,7228;7,142
1,7442;0,3968;-2,8808;5,0969;5,868
1,748616;1,2481;-3,4275;3,3046;4,922
1,75308;2,0034;-4,0133;1,2123;4,647
1,757941;2,5853;-4,5846;-1,1371;5,385
1,762447;3,1791;-4,9298;-3,4425;6,801
1,766762;3,6835;-4,9053;-5,4601;8,212
1,772067;3,8246;-4,6112;-7,3051;9,447
1,776448;3,8829;-4,8026;-9,3075;11,17
1,78131;2,9785;-4,4855;-10,4867;11,788
1,786117;2,336;-3,8017;-10,809;11,694
1,790466;2,4444;-3,7427;-11,3601;12,208
1,795322;2,8538;-4,5418;-12,0877;13,224
1,800079;3,3704;-5,7198;-12,8676;14,479
1,809079;3,9979;-6,6884;-13,5897;15,665
1,809917;4,6926;-7,3666;-14,0914;16,579
